,movie,release_date,release_month,release_day,release_year
505,Bulldog Drummond,1929-05-02,May,Thursday,1929
506,Welcome Danger,1929-10-12,October,Saturday,1929
507,Seven Footprints to Satan,1929-01-27,January,Sunday,1929
508,Berth Marks,1929-06-01,June,Saturday,1929
509,The Iron Mask,1929-02-21,February,Thursday,1929
510,The Divine Lady,1929-03-31,March,Sunday,1929
511,Aelita: Queen of Mars,1929-03-25,March,Monday,1929
512,Hell's Bells,1929-10-29,October,Tuesday,1929
513,The Wild Party,1929-04-06,April,Saturday,1929
514,Wild Waves,1929-08-14,August,Wednesday,1929
515,Madame X,1929-08-17,August,Saturday,1929
516,Piccadilly,1929-06-01,June,Saturday,1929
517,Liberty,1929-01-26,January,Saturday,1929
518,Applause,1929-10-07,October,Monday,1929
519,Jungle Rhythm,1929-11-15,November,Friday,1929
520,The Hoose-Gow,1929-11-26,November,Tuesday,1929
521,Arsenal,1929-11-09,November,Saturday,1929
522,Wild Orchids,1929-02-23,February,Saturday,1929
523,Hindle Wakes,1929-11-07,November,Thursday,1929
524,The Haunted House,1929-12-02,December,Monday,1929
525,Men o'War,1929-06-29,June,Saturday,1929
526,The Greene Murder Case,1929-08-11,August,Sunday,1929
527,The Kiss,1929-11-15,November,Friday,1929
528,The Karnival Kid,1929-07-30,July,Tuesday,1929
529,The Thirteenth Chair,1929-10-19,October,Saturday,1929
530,Where East  Is East,1929-05-04,May,Saturday,1929
531,Big Business,1929-04-29,April,Monday,1929
532,The Single Standard,1929-07-27,July,Saturday,1929
533,The Plowboy,1929-06-28,June,Friday,1929
534,Condemned,1929-11-03,November,Sunday,1929
535,Wrong Again,1929-02-23,February,Saturday,1929
536,Unaccustomed As We Are,1929-05-04,May,Saturday,1929
537,Glorifying the American Girl,1929-12-07,December,Saturday,1929
538,Mickey's Choo-Choo,1929-09-30,September,Monday,1929
539,The Four Feathers,1929-06-01,June,Saturday,1929
540,The Bridge of San Luis Rey,1929-03-30,March,Saturday,1929
541,The Canary Murder Case,1929-02-16,February,Saturday,1929
542,Their Own Desire,1929-12-27,December,Friday,1929
543,Lucky Star,1929-08-18,August,Sunday,1929
544,Thunderbolt,1929-06-20,June,Thursday,1929
545,Double Whoopee,1929-05-18,May,Saturday,1929
546,So Long Letty,1929-10-16,October,Wednesday,1929
547,"Moan & Groan, Inc.",1929-12-07,December,Saturday,1929
548,Behind That Curtain,1929-06-28,June,Friday,1929
549,Broadway,1929-05-27,May,Monday,1929
550,Disraeli,1929-11-01,November,Friday,1929
551,The Opry House,1929-03-19,March,Tuesday,1929
552,Bacon Grabbers,1929-10-19,October,Saturday,1929
553,Tide of Empire,1929-03-23,March,Saturday,1929
554,Show of Shows,1929-11-21,November,Thursday,1929
555,Mickey's Follies,1929-08-28,August,Wednesday,1929
556,Mexicali Rose,1929-12-26,December,Thursday,1929
557,H₂O,1929-12-31,December,Tuesday,1929
558,The Racketeer,1929-11-09,November,Saturday,1929
559,Hell's Heroes,1929-12-27,December,Friday,1929
560,Salute,1929-09-01,September,Sunday,1929
561,The Locked Door,1929-11-16,November,Saturday,1929
562,Why Be Good?,1929-02-28,February,Thursday,1929
563,Half Marriage,1929-10-12,October,Saturday,1929
564,Skyscraper Symphony,1929-04-30,April,Tuesday,1929
565,New York Nights,1929-12-28,December,Saturday,1929
566,The Mysterious Dr. Fu Manchu,1929-08-10,August,Saturday,1929
567,That's My Wife,1929-03-23,March,Saturday,1929
568,The Jazz Fool,1929-10-14,October,Monday,1929
569,Happy Days,1929-09-16,September,Monday,1929
570,The Virginian,1929-11-09,November,Saturday,1929
571,Seven Keys to Baldpate,1929-12-25,December,Wednesday,1929
572,The River,1929-10-06,October,Sunday,1929
573,"Cat, Dog & Co.",1929-09-14,September,Saturday,1929
574,Synthetic Sin,1929-01-06,January,Sunday,1929
575,Smiling Irish Eyes,1929-07-28,July,Sunday,1929
576,The Dance of Life,1929-08-16,August,Friday,1929
577,Siren of the Tropics,1929-09-21,September,Saturday,1929
578,The Taming of the Shrew,1929-10-26,October,Saturday,1929
579,Lambchops,1929-10-31,October,Thursday,1929
580,Our Modern Maidens,1929-09-08,September,Sunday,1929
581,Say It with Songs,1929-08-05,August,Monday,1929
582,The Godless Girl,1929-03-31,March,Sunday,1929
583,Lazy Days,1929-08-24,August,Saturday,1929
584,The Barnyard Battle,1929-04-25,April,Thursday,1929
585,Show Boat,1929-07-27,July,Saturday,1929
586,Broadway Scandals,1929-11-10,November,Sunday,1929
587,Sweetie,1929-10-25,October,Friday,1929
588,Untamed,1929-11-23,November,Saturday,1929
589,The Man I Love,1929-05-25,May,Saturday,1929
590,The Duke Steps Out,1929-03-19,March,Tuesday,1929
591,Sunset Pass,1929-02-09,February,Saturday,1929
592,Bosko the Talk-Ink Kid,1929-01-01,January,Tuesday,1929
593,The Lawless Legion,1929-02-17,February,Sunday,1929
594,Playing in the Park,1929-01-01,January,Tuesday,1929
595,Angora Love,1929-12-14,December,Saturday,1929
596,Bouncing Babies,1929-10-11,October,Friday,1929
597,The Flying Fleet,1929-01-19,January,Saturday,1929
598,St. Louis Blues,1929-09-08,September,Sunday,1929
599,High Voltage,1929-06-29,June,Saturday,1929
600,A Pair of Tights,1929-02-03,February,Sunday,1929
601,The Barn Dance,1929-03-13,March,Wednesday,1929
602,The Office Scandal,1929-03-03,March,Sunday,1929
603,The Shakedown,1929-03-09,March,Saturday,1929
604,Words and Music,1929-08-18,August,Sunday,1929
605,Melody Lane,1929-07-20,July,Saturday,1929
606,Broadway Babies,1929-06-28,June,Friday,1929
607,The Talk of Hollywood,1929-12-10,December,Tuesday,1929
608,House of Horror,1929-04-27,April,Saturday,1929
609,Glad Rag Doll,1929-05-03,May,Friday,1929
610,Sailor's Holiday,1929-09-14,September,Saturday,1929
611,The Royal Rider,1929-02-17,February,Sunday,1929
612,The Redeeming Sin,1929-02-16,February,Saturday,1929
613,The Mighty,1929-11-16,November,Saturday,1929
614,Blue Skies,1929-03-16,March,Saturday,1929
615,This Is Heaven,1929-06-22,June,Saturday,1929
616,His Captive Woman,1929-02-03,February,Sunday,1929
617,King of the Rodeo,1929-01-06,January,Sunday,1929
618,U 9 Weddigen,1929-01-21,January,Monday,1929
619,Speakeasy,1929-03-08,March,Friday,1929
620,Saturday's Children,1929-03-10,March,Sunday,1929
621,Kid Gloves,1929-03-22,March,Friday,1929
622,No Defense,1929-04-05,April,Friday,1929
623,Hot Stuff,1929-05-04,May,Saturday,1929
624,She Goes to War,1929-06-07,June,Friday,1929
625,The Girl in the Glass Cage,1929-06-22,June,Saturday,1929
626,Fashions in Love,1929-07-01,July,Monday,1929
627,Marianne,1929-08-24,August,Saturday,1929
628,Is Everybody Happy?,1929-10-19,October,Saturday,1929
629,Jazz Heaven,1929-11-03,November,Sunday,1929
630,Paris,1929-11-07,November,Thursday,1929
631,Tarzan the Tiger,1929-12-08,December,Sunday,1929
632,The Broadway Hoofer,1929-12-15,December,Sunday,1929
633,The Pagan,1929-04-26,April,Friday,1929
634,Fancy Baggage,1929-01-26,January,Saturday,1929
635,Cheyenne,1929-02-03,February,Sunday,1929
636,Street Girl,1929-08-21,August,Wednesday,1929
637,Naughty Baby,1929-02-11,February,Monday,1929
638,Queen of the Night Clubs,1929-03-23,March,Saturday,1929
639,Two Weeks Off,1929-05-11,May,Saturday,1929
640,Madonna of Avenue A,1929-06-21,June,Friday,1929
641,Black Magic,1929-07-06,July,Saturday,1929
642,Faint Heart,1929-12-21,December,Saturday,1929
643,His Lucky Day,1929-06-02,June,Sunday,1929
644,Stolen Kisses,1929-02-23,February,Saturday,1929
645,One Stolen Night,1929-03-15,March,Friday,1929
646,Love and the Devil,1929-03-24,March,Sunday,1929
647,The Last of Mrs. Cheyney,1929-07-06,July,Saturday,1929
648,Strange Cargo,1929-03-31,March,Sunday,1929
649,The Bachelor Girl,1929-05-20,May,Monday,1929
650,Young Nowheres,1929-10-20,October,Sunday,1929
651,Flight,1929-09-14,September,Saturday,1929
652,The Unholy Night,1929-09-13,September,Friday,1929
653,Small Talk,1929-05-18,May,Saturday,1929
654,The Girl in the Show,1929-08-30,August,Friday,1929
655,The White Eagle,1929-02-11,February,Monday,1929
656,The Big Revue,1929-08-14,August,Wednesday,1929
657,His First Command,1929-12-28,December,Saturday,1929
658,The Careless Age,1929-09-15,September,Sunday,1929
659,The Laughing Lady,1929-12-28,December,Saturday,1929
660,Noisy Noises,1929-02-09,February,Saturday,1929
661,Wonder of Women,1929-07-13,July,Saturday,1929
662,Die berühmte Frau,1929-11-24,November,Sunday,1929
663,The Painted Angel,1929-12-01,December,Sunday,1929
664,The Forward Pass,1929-01-02,January,Wednesday,1929
665,Hardboiled Rose,1929-03-30,March,Saturday,1929
666,Girl Overboard,1929-07-28,July,Sunday,1929
667,Broadway Fever,1929-01-01,January,Tuesday,1929
668,Fugitives,1929-01-27,January,Sunday,1929
669,Thru Different Eyes,1929-04-13,April,Saturday,1929
670,Brothers,1929-06-15,June,Saturday,1929
671,Her Private Life,1929-08-25,August,Sunday,1929
672,For Sale,1929-11-25,November,Monday,1929
673,Loves of Casanova,1929-02-16,February,Saturday,1929
674,Rio Rita,1929-09-15,September,Sunday,1929
675,Fourth of July Parade,1929-07-04,July,Thursday,1929
676,The Phantom in the House,1929-10-20,October,Sunday,1929
677,Saturday's Lesson,1929-11-09,November,Saturday,1929
678,Election Day,1929-01-12,January,Saturday,1929
679,Speedway,1929-10-07,October,Monday,1929
680,The Wagon Master,1929-09-08,September,Sunday,1929
681,The Gamblers,1929-06-28,June,Friday,1929
682,Footlights and Fools,1929-12-08,December,Sunday,1929
683,The Charlatan,1929-04-13,April,Saturday,1929
684,Luther,1929-06-22,June,Saturday,1929
685,Barnum Was Right,1929-09-22,September,Sunday,1929
686,The Bridge,1929-04-30,April,Tuesday,1929
687,Linda,1929-03-31,March,Sunday,1929
688,Wise Girls,1929-09-21,September,Saturday,1929
689,Close Harmony,1929-04-12,April,Friday,1929
690,Betrayal,1929-05-11,May,Saturday,1929
691,Careers,1929-06-01,June,Saturday,1929
692,His Glorious Night,1929-09-28,September,Saturday,1929
693,The Cock-Eyed World,1929-10-19,October,Saturday,1929
694,Shanghai Lady,1929-11-17,November,Sunday,1929
695,From Headquarters,1929-04-27,April,Saturday,1929
696,Chinatown Nights,1929-03-29,March,Friday,1929
697,Finding His Voice,1929-06-21,June,Friday,1929
698,River of Romance,1929-06-28,June,Friday,1929
699,Red Hot Rhythm,1929-11-23,November,Saturday,1929
700,Silks and Saddles,1929-01-20,January,Sunday,1929
701,The Lone Wolf's Daughter,1929-02-18,February,Monday,1929
702,Trial Marriage,1929-03-10,March,Sunday,1929
703,Square Shoulders,1929-03-10,March,Sunday,1929
704,"Roy Fox, the Whispering Cornetist, and His Orchestra",1929-03-12,March,Tuesday,1929
705,Masquerade,1929-07-14,July,Sunday,1929
706,Midstream,1929-07-29,July,Monday,1929
707,Lucky In Love,1929-08-16,August,Friday,1929
708,Crazy Feet,1929-09-07,September,Saturday,1929
709,Big Time,1929-09-07,September,Saturday,1929
710,Hearts in Exile,1929-09-14,September,Saturday,1929
711,Moskva v oktyabre,1929-09-16,September,Monday,1929
712,A Most Immoral Lady,1929-09-22,September,Sunday,1929
713,One Hysterical Night,1929-10-05,October,Saturday,1929
714,Prohibition,1929-01-01,January,Tuesday,1929
715,My Bag o' Tricks,1929-01-15,January,Tuesday,1929
716,The Sin Sister,1929-02-10,February,Sunday,1929
717,Old Man Trouble,1929-05-29,May,Wednesday,1929
718,The Lady Lies,1929-09-21,September,Saturday,1929
719,Woman to Woman,1929-11-01,November,Friday,1929
720,Animal Crackers,1930-08-28,August,Thursday,1930
721,The Blue Angel,1930-12-05,December,Friday,1930
722,All Quiet on the Western Front,1930-04-21,April,Monday,1930
723,Morocco,1930-11-14,November,Friday,1930
724,Earth,1930-10-17,October,Friday,1930
725,City Girl,1930-02-16,February,Sunday,1930
726,Diary of a Lost Girl,1930-09-12,September,Friday,1930
727,Hog Wild,1930-05-30,May,Friday,1930
728,Madam Satan,1930-09-20,September,Saturday,1930
729,The Dawn Patrol,1930-07-10,July,Thursday,1930
730,Danger Lights,1930-08-21,August,Thursday,1930
731,"Hook, Line and Sinker",1930-12-26,December,Friday,1930
732,Murder!,1930-11-24,November,Monday,1930
733,Just Imagine,1930-11-23,November,Sunday,1930
734,The Bishop Murder Case,1930-01-03,January,Friday,1930
735,The Farmer's Wife,1930-01-04,January,Saturday,1930
736,Monte Carlo,1930-08-27,August,Wednesday,1930
737,Playful Pan,1930-12-27,December,Saturday,1930
738,Feet First,1930-11-08,November,Saturday,1930
739,Extravagance,1930-10-09,October,Thursday,1930
740,Abraham Lincoln,1930-08-25,August,Monday,1930
741,Blotto,1930-02-08,February,Saturday,1930
742,Our Blushing Brides,1930-07-19,July,Saturday,1930
743,Summer,1930-01-16,January,Thursday,1930
744,Another Fine Mess,1930-11-29,November,Saturday,1930
745,The Royal Family of Broadway,1930-12-22,December,Monday,1930
746,One Romantic Night,1930-05-03,May,Saturday,1930
747,Reaching for the Moon,1930-12-29,December,Monday,1930
748,The Devil to Pay!,1930-12-18,December,Thursday,1930
749,The Divorcee,1930-04-19,April,Saturday,1930
750,Inside the Lines,1930-07-05,July,Saturday,1930
751,The Silver Horde,1930-10-24,October,Friday,1930
752,Up the River,1930-10-12,October,Sunday,1930
753,The Doorway to Hell,1930-10-18,October,Saturday,1930
754,A Throw of Dice,1930-01-04,January,Saturday,1930
755,Under the Roofs of Paris,1930-01-02,January,Thursday,1930
756,The Picnic,1930-10-22,October,Wednesday,1930
757,Way Out West,1930-08-02,August,Saturday,1930
758,The Widow from Chicago,1930-11-23,November,Sunday,1930
759,Ladies of Leisure,1930-04-05,April,Saturday,1930
760,Framed,1930-03-16,March,Sunday,1930
761,Dixiana,1930-08-01,August,Friday,1930
762,The Devil's Holiday,1930-05-09,May,Friday,1930
763,The Criminal Code,1930-12-31,December,Wednesday,1930
764,Night,1930-04-28,April,Monday,1930
765,Paradise Island,1930-07-15,July,Tuesday,1930
766,The Cactus Kid,1930-05-14,May,Wednesday,1930
767,The Bat Whispers,1930-11-13,November,Thursday,1930
768,The Green Goddess,1930-02-13,February,Thursday,1930
769,Pioneer Days,1930-12-05,December,Friday,1930
770,Juno and the Paycock,1930-06-29,June,Sunday,1930
771,Monkey Melodies,1930-08-09,August,Saturday,1930
772,Road To Paradise,1930-07-20,July,Sunday,1930
773,Paid,1930-12-30,December,Tuesday,1930
774,Behind the Make-Up,1930-01-11,January,Saturday,1930
775,Night Owls,1930-01-04,January,Saturday,1930
776,White Hell of Pitz Palu,1930-05-31,May,Saturday,1930
777,Below Zero,1930-04-26,April,Saturday,1930
778,Teacher's Pet,1930-10-10,October,Friday,1930
779,Brats,1930-03-22,March,Saturday,1930
780,Sin Takes a Holiday,1930-11-10,November,Monday,1930
781,The Big Pond,1930-05-03,May,Saturday,1930
782,Swing You Sinners!,1930-09-23,September,Tuesday,1930
783,The Barnyard Concert,1930-04-04,April,Friday,1930
784,Half Shot at Sunrise,1930-10-04,October,Saturday,1930
785,Whoopee!,1930-10-05,October,Sunday,1930
786,Congo Jazz,1930-08-07,August,Thursday,1930
787,Hold Anything,1930-11-01,November,Saturday,1930
788,King of Jazz,1930-04-20,April,Sunday,1930
789,The Texan,1930-05-10,May,Saturday,1930
790,Hell Harbor,1930-03-14,March,Friday,1930
791,The Florodora Girl,1930-05-31,May,Saturday,1930
792,Way for a Sailor,1930-11-01,November,Saturday,1930
793,Sarah and Son,1930-03-14,March,Friday,1930
794,The Kidnappers Foil,1930-02-16,February,Sunday,1930
795,The Office Wife,1930-08-23,August,Saturday,1930
796,Holiday,1930-07-03,July,Thursday,1930
797,Outward Bound,1930-09-17,September,Wednesday,1930
798,The Medicine Man,1930-06-14,June,Saturday,1930
799,With Byrd at the South Pole,1930-06-28,June,Saturday,1930
800,The Laurel-Hardy Murder Case,1930-09-06,September,Saturday,1930
801,The Big House,1930-06-14,June,Saturday,1930
802,Cheer Up and Smile,1930-06-22,June,Sunday,1930
803,Men Without Women,1930-02-08,February,Saturday,1930
804,Be Yourself!,1930-02-07,February,Friday,1930
805,A Lady to Love,1930-02-28,February,Friday,1930
806,Box Car Blues,1930-12-07,December,Sunday,1930
807,Sinners' Holiday,1930-10-11,October,Saturday,1930
808,Men Are Like That,1930-05-21,May,Wednesday,1930
809,Golden Dawn,1930-06-14,June,Saturday,1930
810,Party Girl,1930-01-01,January,Wednesday,1930
811,The Booze Hangs High,1930-12-07,December,Sunday,1930
812,Street of Chance,1930-02-08,February,Saturday,1930
813,Billy the Kid,1930-10-18,October,Saturday,1930
814,Not So Dumb,1930-02-02,February,Sunday,1930
815,Her Man,1930-01-01,January,Wednesday,1930
816,Rain or Shine,1930-08-15,August,Friday,1930
817,The Golf Specialist,1930-08-22,August,Friday,1930
818,Liliom,1930-10-05,October,Sunday,1930
819,Born Reckless,1930-06-06,June,Friday,1930
820,Redemption,1930-05-02,May,Friday,1930
821,Laughter,1930-09-24,September,Wednesday,1930
822,The Fire Fighters,1930-07-24,July,Thursday,1930
823,Free and Easy,1930-03-22,March,Saturday,1930
824,The Arizona Kid,1930-04-27,April,Sunday,1930
825,Montana Moon,1930-03-20,March,Thursday,1930
826,Young Man of Manhattan,1930-04-19,April,Saturday,1930
827,Journey's End,1930-04-19,April,Saturday,1930
828,Good News,1930-08-22,August,Friday,1930
829,Borrowed Wives,1930-08-20,August,Wednesday,1930
830,The Chain Gang,1930-09-04,September,Thursday,1930
831,Sinkin' in the Bathtub,1930-04-19,April,Saturday,1930
832,Only the Brave,1930-03-07,March,Friday,1930
833,Dizzy Dishes,1930-08-08,August,Friday,1930
834,The Song of the Flame,1930-05-24,May,Saturday,1930
835,The Sins of the Children,1930-06-27,June,Friday,1930
836,Pups Is Pups,1930-08-30,August,Saturday,1930
837,Fiddling Around,1930-03-20,March,Thursday,1930
838,The Shindig,1930-07-28,July,Monday,1930
839,It's a Bird,1930-01-01,January,Wednesday,1930
840,Conspiracy,1930-08-10,August,Sunday,1930
841,Shadow of the Law,1930-06-06,June,Friday,1930
842,Loose Ankles,1930-02-02,February,Sunday,1930
843,Winter,1930-10-30,October,Thursday,1930
844,The Gorilla Mystery,1930-10-09,October,Thursday,1930
845,Bright Lights,1930-09-21,September,Sunday,1930
846,Dancing Sweeties,1930-07-18,July,Friday,1930
847,Filmed Prologue to Birth of a Nation,1930-10-24,October,Friday,1930
848,"Oh, for a Man!",1930-11-28,November,Friday,1930
849,Mothers Cry,1930-12-07,December,Sunday,1930
850,Beauty Prize,1930-01-01,January,Wednesday,1930
851,The Flirting Widow,1930-05-11,May,Sunday,1930
852,The Naughty Flirt,1930-12-17,December,Wednesday,1930
853,The First Seven Years,1930-03-01,March,Saturday,1930
854,Let Us Be Gay,1930-08-08,August,Friday,1930
855,The Pay-Off,1930-10-14,October,Tuesday,1930
856,Second Wife,1930-02-09,February,Sunday,1930
857,Going Wild,1930-12-21,December,Sunday,1930
858,Derelict,1930-11-22,November,Saturday,1930
859,Mammy,1930-03-26,March,Wednesday,1930
860,Seven Days' Leave,1930-01-24,January,Friday,1930
861,Soup to Nuts,1930-09-28,September,Sunday,1930
862,A Devil with Women,1930-10-17,October,Friday,1930
863,The Cuckoos,1930-05-04,May,Sunday,1930
864,Outside the Law,1930-09-18,September,Thursday,1930
865,Show Girl in Hollywood,1930-04-20,April,Sunday,1930
866,Remote Control,1930-11-15,November,Saturday,1930
867,Love in the Rough,1930-09-05,September,Friday,1930
